question,context,answer
"What is the largest volcano?","Mauna Loa in Hawaii is the largest volcano on Earth.","Mauna Loa"
"Who wrote 'Macbeth'?","William Shakespeare wrote 'Macbeth'.","William Shakespeare"
"Which planet is known for its Great Red Spot?","Jupiter is known for the Great Red Spot.","Jupiter"
"What is the chemical symbol for silver?","Silver has the chemical symbol Ag.","Ag"
"What is the main gas in the human body?","Nitrogen is the most abundant gas in the human body by volume.","Nitrogen"
"Who discovered radioactivity?","Henri Becquerel discovered radioactivity.","Henri Becquerel"
"Which ocean is the smallest?","The Arctic Ocean is the smallest ocean on Earth.","Arctic Ocean"
"Who wrote 'To Kill a Mockingbird'?","Harper Lee wrote 'To Kill a Mockingbird'.","Harper Lee"
"What is the largest species of shark?","The whale shark is the largest species of shark.","Whale shark"
"What is the chemical symbol for potassium?","Potassium has the chemical symbol K.","K"
"Who invented the printing press?","Johannes Gutenberg invented the printing press.","Johannes Gutenberg"
"Which planet is known for its rings?","Saturn is known for its rings.","Saturn"
"What is the hardest rock?","Diamond is the hardest natural rock substance.","Diamond"
"What is the largest city by population?","Tokyo is the largest city in the world by population.","Tokyo"
"Who discovered oxygen?","Carl Wilhelm Scheele and Joseph Priestley discovered oxygen.","Carl Wilhelm Scheele"
"What is the formula for table sugar?","Table sugar has the chemical formula C12H22O11.","C12H22O11"
"Which animal is known as the King of the Jungle?","The lion is known as the King of the Jungle.","Lion"
"What is the largest land animal?","The African elephant is the largest land animal.","African elephant"
